format=0 tracks=1 division=240
# TRACK 0

BA    3   CR    2+5/48   TR  0   CH  6   NT  B           79/80   von=66
BA    3   CR   2+29/30   TR  0   CH  6   NT  C#         1+3/16   von=75
BA    3   CR   3+1/120   TR  0   CH  5   NT  C#       1+13/120   von=91
BA    3   CR    3+1/12   TR  0   CH  6   NT  C#'       1+1/120   von=63
BA    3   CR   3+19/20   TR  0   CH  6   NT  B-       2+47/240   von=61

BA    4   CR         0   TR  0   CH  3   NT  B---      1+13/24   von=68
BA    4   CR     1/240   TR  0   CH  5   NT  B-         1+9/16   von=117
BA    4   CR     1/120   TR  0   CH  6   NT  B       1+133/240   von=61
BA    4   CR    71/240   TR  0   CH 10   NT  Eb-         7/240   von=57
BA    4   CR    79/120   TR  0   CH 10   NT  F-          7/240   von=66
BA    4   CR    1+1/20   TR  0   CH 10   NT  B-           1/30   von=81
BA    4   CR 1+113/240   TR  0   CH  6   NT  E        1+19/240   von=82
BA    4   CR   1+41/80   TR  0   CH  5   NT  E         119/120   von=89
BA    4   CR 1+127/240   TR  0   CH  6   NT  G#       1+71/240   von=76
BA    4   CR    1+9/16   TR  0   CH  3   NT  G#--      203/240   von=58
BA    4   CR    1+9/16   TR  0   CH  6   NT  G#'        1+1/24   von=66
BA    4   CR  1+71/120   TR  0   CH  5   NT  G#        223/240   von=89
BA    4   CR  2+53/120   TR  0   CH  6   NT  B         157/240   von=51
BA    4   CR 2+107/240   TR  0   CH  3   NT  B---         8/15   von=58
BA    4   CR   2+39/80   TR  0   CH  6   NT  B-       1+41/240   von=45
BA    4   CR   2+41/80   TR  0   CH  5   NT  B-        137/240   von=89
BA    4   CR   2+47/48   TR  0   CH  6   NT  Eb       1+43/240   von=70
BA    4   CR 2+119/120   TR  0   CH  3   NT  F#--      1+7/120   von=61
BA    4   CR    3+1/48   TR  0   CH  5   NT  Eb         1+7/40   von=90
BA    4   CR   3+7/240   TR  0   CH  6   NT  F#         1+1/15   von=78
BA    4   CR    3+1/24   TR  0   CH  6   NT  F#'       1+7/240   von=58
BA    4   CR  3+23/240   TR  0   CH  5   NT  F#         1+1/48   von=95
BA    4   CR   3+15/16   TR  0   CH  6   NT  B-          1+3/4   von=62
BA    4   CR   3+79/80   TR  0   CH  3   NT  B---       59/120   von=50
BA    4   CR 3+119/120   TR  0   CH  5   NT  B-      1+127/240   von=93

BA    5   CR         0   TR  0   CH  6   NT  B             5/8   von=62
BA    5   CR     25/48   TR  0   CH  3   NT  E--         23/24   von=67
BA    5   CR     21/40   TR  0   CH  6   NT  E           29/30   von=78
BA    5   CR      8/15   TR  0   CH  5   NT  E           37/40   von=81
BA    5   CR     13/24   TR  0   CH  6   NT  E'          59/60   von=66
BA    5   CR   1+23/48   TR  0   CH  5   NT  Eb         73/120   von=95
BA    5   CR   1+39/80   TR  0   CH  6   NT  Eb          11/16   von=66
BA    5   CR     1+1/2   TR  0   CH  6   NT  Eb'         25/48   von=59
BA    5   CR   1+41/80   TR  0   CH  3   NT  Eb--        25/48   von=52
BA    5   CR    2+1/48   TR  0   CH  5   NT  B-              1   von=99
BA    5   CR    2+1/48   TR  0   CH  6   NT  B-         1+2/15   von=57
BA    5   CR    2+1/24   TR  0   CH  6   NT  B           15/16   von=52
BA    5   CR  2+11/240   TR  0   CH  3   NT  B---      227/240   von=49
BA    5   CR   2+79/80   TR  0   CH  6   NT  C#         1+1/80   von=67
BA    5   CR 2+119/120   TR  0   CH  5   NT  C#          17/20   von=77
BA    5   CR         3   TR  0   CH 11   NT  F#-        1+5/48   von=30
BA    5   CR         3   TR  0   CH 11   ST &BA &0B &7F
BA    5   CR    3+1/48   TR  0   CH  6   NT  C#'         41/48   von=45
BA    5   CR  3+11/240   TR  0   CH  3   NT  C#--      113/120   von=49

BA    6   CR         0   TR  0   CH  3   NT  B---      1+13/24   von=68
BA    6   CR         0   TR  0   CH 10   NT  F-          7/240   von=41
BA    6   CR         0   TR  0   CH 11   NT  A-         8+5/48   von=39
BA    6   CR     1/120   TR  0   CH 11   NT  C#          8+1/6   von=31
BA    6   CR     7/240   TR  0   CH  6   NT  B-         2+3/16   von=78
BA    6   CR      1/24   TR  0   CH  6   NT  B         1+29/48   von=66
