format=1 tracks=5 division=96

BA   13   CR         0   TR  3   CH  2   NT  D-            1/2   voff=0
BA   13   CR         0   TR  3   CH  2   NT  F--           1/2   voff=0
BA   13   CR       1/2   TR  2   CH  4   NT  D'              1   voff=0
BA   13   CR       1/2   TR  2   CH  4   NT  D               1   voff=0
BA   13   CR       1/2   TR  2   CH  4   NT  F-              1   voff=0
BA   13   CR       1/2   TR  2   CH  4   NT  Bb--            1   voff=0
BA   13   CR       1/2   TR  3   CH  2   NT  Bb--            1   voff=0
BA   13   CR       1/2   TR  3   CH  2   NT  F-              1   voff=0
BA   13   CR       1/2   TR  3   CH  2   NT  D-              1   voff=0
BA   13   CR       1/2   TR  3   CH  2   NT  F--             1   voff=0
BA   13   CR     1+1/2   TR  2   CH  4   NT  C'            1/2   voff=0
BA   13   CR     1+1/2   TR  2   CH  4   NT  D             1/2   voff=0
BA   13   CR     1+1/2   TR  2   CH  4   NT  F#-           1/2   voff=0
BA   13   CR     1+1/2   TR  2   CH  4   NT  Bb--          1/2   voff=0
BA   13   CR     1+1/2   TR  3   CH  2   NT  Bb--          1/2   voff=0
BA   13   CR     1+1/2   TR  3   CH  2   NT  F#-           1/2   voff=0
BA   13   CR     1+1/2   TR  3   CH  2   NT  F#--          1/2   voff=0
BA   13   CR     1+1/2   TR  3   CH  2   NT  D-            1/2   voff=0
BA   13   CR         2   TR  2   CH  4   NT  C'            1/2   voff=0
BA   13   CR         2   TR  2   CH  4   NT  D               1   voff=0
BA   13   CR         2   TR  2   CH  4   NT  G-              1   voff=0
BA   13   CR         2   TR  2   CH  4   NT  Bb--            1   voff=0
BA   13   CR         2   TR  3   CH  2   NT  Bb--            1   voff=0
BA   13   CR         2   TR  3   CH  2   NT  G-              1   voff=0
BA   13   CR         2   TR  3   CH  2   NT  G--             1   voff=0
BA   13   CR         2   TR  3   CH  2   NT  D-              1   voff=0
BA   13   CR     2+1/2   TR  2   CH  4   NT  Bb            1/2   voff=0

BA   14   CR         0   TR  2   CH  4   NT  G             1/2   voff=0
BA   14   CR         0   TR  2   CH  4   NT  Eb            1/2   voff=0
BA   14   CR         0   TR  2   CH  4   NT  A-            1/2   voff=0
BA   14   CR         0   TR  2   CH  4   NT  Bb--          1/2   voff=0
BA   14   CR         0   TR  3   CH  2   NT  Bb--          1/2   voff=0
BA   14   CR         0   TR  3   CH  2   NT  A-            1/2   voff=0
BA   14   CR         0   TR  3   CH  2   NT  D-            1/2   voff=0
BA   14   CR         0   TR  3   CH  2   NT  G--           1/2   voff=0
BA   14   CR       1/2   TR  2   CH  4   NT  F               1   voff=0
BA   14   CR       1/2   TR  2   CH  4   NT  D               1   voff=0
BA   14   CR       1/2   TR  2   CH  4   NT  Bb-             1   voff=0
BA   14   CR       1/2   TR  2   CH  4   NT  Bb--            1   voff=0
BA   14   CR       1/2   TR  3   CH  2   NT  Bb--            1   voff=0
BA   14   CR       1/2   TR  3   CH  2   NT  Bb-             1   voff=0
BA   14   CR       1/2   TR  3   CH  2   NT  D-              1   voff=0
BA   14   CR       1/2   TR  3   CH  2   NT  F-              1   voff=0
BA   14   CR     1+1/2   TR  2   CH  4   NT  G             1/2   voff=0
BA   14   CR     1+1/2   TR  2   CH  4   NT  Eb            1/2   voff=0
BA   14   CR     1+1/2   TR  2   CH  4   NT  A--           1/2   voff=0
BA   14   CR     1+1/2   TR  2   CH  4   NT  F-            1/2   voff=0
BA   14   CR     1+1/2   TR  3   CH  2   NT  A--           1/2   voff=0
BA   14   CR     1+1/2   TR  3   CH  2   NT  F-            1/2   voff=0
BA   14   CR     1+1/2   TR  3   CH  2   NT  D-            1/2   voff=0
BA   14   CR     1+1/2   TR  3   CH  2   NT  F--           1/2   voff=0
BA   14   CR         2   TR  2   CH  4   NT  F               1   voff=0
BA   14   CR         2   TR  2   CH  4   NT  D               1   voff=0
BA   14   CR         2   TR  2   CH  4   NT  Bb--            1   voff=0
BA   14   CR         2   TR  2   CH  4   NT  F-              1   voff=0
BA   14   CR         2   TR  3   CH  2   NT  Bb--            1   voff=0
BA   14   CR         2   TR  3   CH  2   NT  F-              1   voff=0
BA   14   CR         2   TR  3   CH  2   NT  D-              1   voff=0
BA   14   CR         2   TR  3   CH  2   NT  F--             1   voff=0

BA   15   CR         0   TR  2   CH  4   NT  F             1/2   voff=0
BA   15   CR         0   TR  2   CH  4   NT  D             1/2   voff=0
BA   15   CR         0   TR  2   CH  4   NT  Bb-           1/2   voff=0
BA   15   CR         0   TR  2   CH  4   NT  D-            1/2   voff=0
BA   15   CR         0   TR  3   CH  2   NT  D-            1/2   voff=0
BA   15   CR         0   TR  3   CH  2   NT  Bb-           1/2   voff=0
BA   15   CR         0   TR  3   CH  2   NT  F-            1/2   voff=0
BA   15   CR         0   TR  3   CH  2   NT  Bb--          1/2   voff=0
BA   15   CR       1/2   TR  2   CH  4   NT  Eb              1   voff=0
BA   15   CR       1/2   TR  2   CH  4   NT  Bb-             1   voff=0
BA   15   CR       1/2   TR  2   CH  4   NT  G               1   voff=0
BA   15   CR       1/2   TR  2   CH  4   NT  Eb-             1   voff=0
BA   15   CR       1/2   TR  3   CH  2   NT  Bb-             1   voff=0
BA   15   CR       1/2   TR  3   CH  2   NT  Eb-             1   voff=0
BA   15   CR       1/2   TR  3   CH  2   NT  G-              1   voff=0
BA   15   CR       1/2   TR  3   CH  2   NT  Bb--            1   voff=0
BA   15   CR     1+1/2   TR  2   CH  4   NT  Eb            1/2   voff=0
BA   15   CR     1+1/2   TR  2   CH  4   NT  G             1/2   voff=0
BA   15   CR     1+1/2   TR  2   CH  4   NT  C             1/2   voff=0
BA   15   CR     1+1/2   TR  2   CH  4   NT  C-            1/2   voff=0
BA   15   CR     1+1/2   TR  3   CH  2   NT  C             1/2   voff=0
BA   15   CR     1+1/2   TR  3   CH  2   NT  C-            1/2   voff=0
BA   15   CR     1+1/2   TR  3   CH  2   NT  Eb-           1/2   voff=0
BA   15   CR     1+1/2   TR  3   CH  2   NT  G-            1/2   voff=0
BA   15   CR         2   TR  2   CH  4   NT  A             1/2   voff=0
BA   15   CR         2   TR  2   CH  4   NT  Eb              1   voff=0
BA   15   CR         2   TR  2   CH  4   NT  C             1/2   voff=0
BA   15   CR         2   TR  2   CH  4   NT  F-              1   voff=0
BA   15   CR         2   TR  3   CH  2   NT  C             1/2   voff=0
BA   15   CR         2   TR  3   CH  2   NT  F-              1   voff=0
BA   15   CR         2   TR  3   CH  2   NT  A-            1/2   voff=0
BA   15   CR         2   TR  3   CH  2   NT  C-              1   voff=0
BA   15   CR     2+1/2   TR  2   CH  4   NT  G             1/2   voff=0
BA   15   CR     2+1/2   TR  2   CH  4   NT  Bb-           1/2   voff=0
BA   15   CR     2+1/2   TR  3   CH  2   NT  Bb-           1/2   voff=0
BA   15   CR     2+1/2   TR  3   CH  2   NT  Eb-           1/2   voff=0

BA   16   CR         0   TR  2   CH  4   NT  F             1/2   voff=0
BA   16   CR         0   TR  2   CH  4   NT  Eb            1/2   voff=0
BA   16   CR         0   TR  2   CH  4   NT  A-            1/2   voff=0
BA   16   CR         0   TR  2   CH  4   NT  F-            1/2   voff=0
BA   16   CR         0   TR  3   CH  2   NT  A-            1/2   voff=0
BA   16   CR         0   TR  3   CH  2   NT  F-            1/2   voff=0
BA   16   CR         0   TR  3   CH  2   NT  C-            1/2   voff=0
BA   16   CR         0   TR  3   CH  2   NT  A--           1/2   voff=0
BA   16   CR       1/2   TR  2   CH  4   NT  Bb          2+1/2   voff=0
BA   16   CR       1/2   TR  2   CH  4   NT  D           2+1/2   voff=0
BA   16   CR       1/2   TR  2   CH  4   NT  Bb-         2+1/2   voff=0
BA   16   CR       1/2   TR  2   CH  4   NT  Bb--        2+1/2   voff=0
BA   16   CR       1/2   TR  3   CH  2   NT  Bb-         2+1/2   voff=0
BA   16   CR       1/2   TR  3   CH  2   NT  Bb--        2+1/2   voff=0
BA   16   CR       1/2   TR  3   CH  2   NT  D-          2+1/2   voff=0
BA   16   CR       1/2   TR  3   CH  2   NT  F-          2+1/2   voff=0

BA   17   CR         0   TR  1   CH 10   NT  F#-          1/16   von=95   voff=0
BA   17   CR         0   TR  1   CH 10   NT  A'           1/16   von=63   voff=0
BA   17   CR         0   TR  2   CH  4   NT  F             1/2   voff=0
BA   17   CR         0   TR  2   CH  4   NT  D             1/2   voff=0
BA   17   CR         0   TR  2   CH  4   NT  F-            1/2   voff=0
BA   17   CR         0   TR  2   CH  4   NT  Bb--          1/2   voff=0
BA   17   CR         0   TR  3   CH  2   NT  Bb--          1/2   voff=0
BA   17   CR         0   TR  3   CH  2   NT  F-            1/2   voff=0
BA   17   CR         0   TR  3   CH  2   NT  D-            1/2   voff=0
BA   17   CR         0   TR  3   CH  2   NT  F--           1/2   voff=0
BA   17   CR       1/2   TR  1   CH 10   NT  F#-          1/16   voff=0
BA   17   CR       1/2   TR  1   CH 10   NT  Bb---        1/16   von=79   voff=0
BA   17   CR       1/2   TR  1   CH 10   NT  F-           1/16   von=47   voff=0
BA   17   CR       1/2   TR  2   CH  4   NT  D'              1   voff=0
BA   17   CR       1/2   TR  2   CH  4   NT  D               1   voff=0
BA   17   CR       1/2   TR  2   CH  4   NT  F-              1   voff=0
BA   17   CR       1/2   TR  2   CH  4   NT  Bb--            1   voff=0
BA   17   CR       1/2   TR  3   CH  2   NT  Bb--            1   voff=0
BA   17   CR       1/2   TR  3   CH  2   NT  F-              1   voff=0
BA   17   CR       1/2   TR  3   CH  2   NT  D-              1   voff=0
BA   17   CR       1/2   TR  3   CH  2   NT  F--             1   voff=0
BA   17   CR      9/16   TR  1   CH 10   NT  F#-          1/16   von=63   voff=0
BA   17   CR       5/8   TR  1   CH 10   NT  F#-          1/16   voff=0
BA   17   CR     11/16   TR  1   CH 10   NT  F#-          1/16   voff=0
BA   17   CR       3/4   TR  1   CH 10   NT  F#-          1/16   voff=0
BA   17   CR     13/16   TR  1   CH 10   NT  F#-          1/16   voff=0
BA   17   CR       7/8   TR  1   CH 10   NT  F#-          1/16   voff=0
BA   17   CR     15/16   TR  1   CH 10   NT  F#-          1/16   voff=0
BA   17   CR         1   TR  1   CH 10   NT  F#-          1/16   voff=0
BA   17   CR    1+1/16   TR  1   CH 10   NT  F#-          1/16   voff=0
BA   17   CR     1+1/8   TR  1   CH 10   NT  F#-          1/16   voff=0
BA   17   CR    1+3/16   TR  1   CH 10   NT  F#-          1/16   voff=0
BA   17   CR     1+1/4   TR  1   CH 10   NT  F#-          1/16   voff=0
BA   17   CR    1+5/16   TR  1   CH 10   NT  F#-          1/16   voff=0
BA   17   CR     1+1/2   TR  1   CH 10   NT  F#-          1/16   von=95   voff=0
BA   17   CR     1+1/2   TR  1   CH 10   NT  A'           1/16   von=63   voff=0
BA   17   CR     1+1/2   TR  2   CH  4   NT  C'            1/2   voff=0
BA   17   CR     1+1/2   TR  2   CH  4   NT  D             1/2   voff=0
BA   17   CR     1+1/2   TR  2   CH  4   NT  F#-           1/2   voff=0
BA   17   CR     1+1/2   TR  2   CH  4   NT  Bb--          1/2   voff=0
BA   17   CR     1+1/2   TR  3   CH  2   NT  Bb--          1/2   voff=0
BA   17   CR     1+1/2   TR  3   CH  2   NT  F#-           1/2   voff=0
BA   17   CR     1+1/2   TR  3   CH  2   NT  F#--          1/2   voff=0
BA   17   CR     1+1/2   TR  3   CH  2   NT  D-            1/2   voff=0
BA   17   CR         2   TR  1   CH 10   NT  F#-          1/16   voff=0
BA   17   CR         2   TR  1   CH 10   NT  Bb---        1/16   von=79   voff=0
BA   17   CR         2   TR  1   CH 10   NT  F-           1/16   von=47   voff=0
BA   17   CR         2   TR  2   CH  4   NT  C'            1/2   voff=0
BA   17   CR         2   TR  2   CH  4   NT  D               1   voff=0
BA   17   CR         2   TR  2   CH  4   NT  G-              1   voff=0
BA   17   CR         2   TR  2   CH  4   NT  Bb--            1   voff=0
BA   17   CR         2   TR  3   CH  2   NT  Bb--            1   voff=0
BA   17   CR         2   TR  3   CH  2   NT  G-              1   voff=0
BA   17   CR         2   TR  3   CH  2   NT  G--             1   voff=0
BA   17   CR         2   TR  3   CH  2   NT  D-              1   voff=0
BA   17   CR    2+1/16   TR  1   CH 10   NT  F#-          1/16   von=63   voff=0
BA   17   CR     2+1/8   TR  1   CH 10   NT  F#-          1/16   voff=0
BA   17   CR    2+3/16   TR  1   CH 10   NT  F#-          1/16   voff=0
