format=0 tracks=1 division=96

BA    1   CR    3+7/96   TR  0   CH 10   ST &B9 &62 &32
BA    1   CR    3+1/12   TR  0   CH 10   ST &B9 &06 &14
BA    1   CR    3+3/32   TR  0   CH 10   ST &B9 &63 &18
BA    1   CR    3+5/48   TR  0   CH 10   ST &B9 &62 &32
BA    1   CR   3+11/96   TR  0   CH 10   ST &B9 &06 &2E
BA    1   CR     3+1/8   TR  0   CH 10   ST &B9 &63 &1D
BA    1   CR   3+13/96   TR  0   CH 10   ST &B9 &62 &36
BA    1   CR    3+7/48   TR  0   CH 10   ST &B9 &06 &54
BA    1   CR    3+5/32   TR  0   CH 10   ST &B9 &65 &00
BA    1   CR     3+1/6   TR  0   CH 10   ST &B9 &64 &00
BA    1   CR   3+17/96   TR  0   CH 10   ST &B9 &06 &0C
BA    1   CR    3+3/16   TR  0   CH 10   ST &B9 &65 &7F
BA    1   CR   3+19/96   TR  0   CH 10   ST &B9 &64 &7F

BA    2   CR    2+7/16   TR  0   CH  9   ST &E8 &40 &3B
BA    2   CR   2+23/48   TR  0   CH  3   ST &E2 &00 &3B
BA    2   CR     2+1/2   TR  0   CH  3   NT  G#          23/48   von=127
BA    2   CR   2+49/96   TR  0   CH  9   ST &B8 &5D &00
BA    2   CR   2+49/96   TR  0   CH  9   NT  G#          43/96
BA    2   CR     2+3/4   TR  0   CH  3   ST &E2 &00 &40
BA    2   CR   2+73/96   TR  0   CH  9   ST &E8 &00 &40
BA    2   CR         3   TR  0   CH  3   NT  B           23/48   von=122
BA    2   CR    3+1/96   TR  0   CH  9   NT  B           43/96
BA    2   CR     3+1/2   TR  0   CH  3   NT  C#'         23/48
BA    2   CR   3+49/96   TR  0   CH  9   NT  C#'         43/96
BA    2   CR   3+95/96   TR  0   CH  3   ST &E2 &00 &3B
BA    2   CR   3+95/96   TR  0   CH 10   ST &B9 &5D &00
BA    2   CR   3+95/96   TR  0   CH 10   NT  F#-          1/96   von=123

BA    3   CR         0   TR  0   CH  1   NT  E-        7+71/96   von=91
BA    3   CR         0   TR  0   CH  1   NT  G#-       7+35/48   von=95
BA    3   CR         0   TR  0   CH  2   ST &B1 &5B &00
BA    3   CR         0   TR  0   CH  2   ST &B1 &5D &00
BA    3   CR         0   TR  0   CH  2   NT  E---      7+23/48   von=111
BA    3   CR         0   TR  0   CH  3   NT  B           23/48   von=110
BA    3   CR         0   TR  0   CH  8   NT  G#-       7+23/48   von=95
BA    3   CR         0   TR  0   CH  9   ST &E8 &00 &3B
BA    3   CR         0   TR  0   CH 10   NT  B---         1/96   von=125
BA    3   CR         0   TR  0   CH 10   NT  C#-          1/96   von=98
BA    3   CR      1/96   TR  0   CH  1   NT  B-        7+17/24   von=96
BA    3   CR      1/96   TR  0   CH  9   NT  B           43/96   von=115
BA    3   CR      1/48   TR  0   CH  8   NT  B-        7+43/96   von=106
BA    3   CR      1/32   TR  0   CH  3   NT  E'          43/96   von=115
BA    3   CR      1/24   TR  0   CH  8   NT  E          7+5/12   von=114
BA    3   CR      1/24   TR  0   CH  9   NT  E'           5/12   von=96
BA    3   CR      5/96   TR  0   CH 10   NT  F#-          1/96   von=80
BA    3   CR     11/48   TR  0   CH 10   NT  F#-          1/96   von=78
BA    3   CR       1/4   TR  0   CH  3   ST &E2 &00 &40
BA    3   CR     25/96   TR  0   CH  9   ST &E8 &00 &40
BA    3   CR     41/96   TR  0   CH 10   NT  F#-          1/96   von=84
BA    3   CR       1/2   TR  0   CH  3   NT  B           23/48   von=108
BA    3   CR     49/96   TR  0   CH  9   NT  B           43/96   von=113
BA    3   CR     17/32   TR  0   CH  3   NT  E'          43/96   von=109
BA    3   CR     13/24   TR  0   CH  9   NT  E'           5/12   von=90
BA    3   CR     61/96   TR  0   CH 10   NT  F#-          1/96   von=87
BA    3   CR     79/96   TR  0   CH 10   NT  F#-          1/96   von=82
BA    3   CR         1   TR  0   CH  3   NT  B           23/48   von=100
BA    3   CR    1+1/96   TR  0   CH  9   NT  B           43/96   von=105
BA    3   CR    1+1/48   TR  0   CH 10   NT  F#-          1/96   von=84
BA    3   CR    1+1/32   TR  0   CH  3   NT  E'           7/16   von=108
BA    3   CR    1+1/24   TR  0   CH  9   NT  E'          13/32   von=89
BA    3   CR   1+23/96   TR  0   CH 10   NT  F#-          1/96   von=76
BA    3   CR   1+11/24   TR  0   CH 10   NT  F#-          1/96   von=70
BA    3   CR   1+47/96   TR  0   CH  3   ST &E2 &00 &3B
BA    3   CR     1+1/2   TR  0   CH  3   NT  B           23/48   von=111
BA    3   CR     1+1/2   TR  0   CH  9   ST &E8 &00 &3B
BA    3   CR   1+49/96   TR  0   CH  9   NT  B           43/96   von=116
BA    3   CR   1+17/32   TR  0   CH  3   NT  E'          43/96
BA    3   CR   1+13/24   TR  0   CH  9   NT  E'           5/12   von=97
BA    3   CR   1+61/96   TR  0   CH 10   NT  F#-          1/96   von=70
BA    3   CR     1+3/4   TR  0   CH  3   ST &E2 &00 &40
BA    3   CR   1+73/96   TR  0   CH  9   ST &E8 &00 &40
BA    3   CR   1+27/32   TR  0   CH 10   NT  F#-          1/96   von=73
BA    3   CR         2   TR  0   CH  3   NT  B           23/48   von=107
