format=1 tracks=4 division=192
# TRACK 0

BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Tempo 100
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   End of track

# TRACK 1

# BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
# BA    1   CR         0   TR  0   CH 16   Tempo 100
# BA    1   CR         0   TR  0   CH 16   Key C major
BA    6   CR    3+1/64   TR  1   CH  1   NT  C#           9/64   von=54
BA    6   CR    3+1/32   TR  1   CH  1   NT  A-          13/96   von=53
BA    6   CR  3+89/192   TR  1   CH  1   NT  C#         35/192   von=77
BA    6   CR   3+23/48   TR  1   CH  1   NT  A-            1/6   von=60
BA    6   CR   3+47/96   TR  1   CH  1   NT  C#-           1/8   von=73
BA    6   CR     3+1/2   TR  1   CH  1   NT  E-           7/48   von=60
BA    6   CR   3+43/48   TR  1   CH  1   NT  A-            1/8   von=44
BA    6   CR   3+29/32   TR  1   CH  1   NT  D            9/64   von=61

BA    7   CR    43/192   TR  1   CH  1   ST &B0 &40 &00
BA    7   CR     31/96   TR  1   CH  1   NT  A--           3/4   von=66
BA    7   CR       1/3   TR  1   CH  1   NT  E            9/32   von=68
BA    7   CR    65/192   TR  1   CH  1   NT  E-          19/32   von=66
BA    7   CR    67/192   TR  1   CH  1   NT  A-         49/192   von=62
BA    7   CR     43/96   TR  1   CH  1   ST &B0 &40 &7F
BA    7   CR     19/24   TR  1   CH  1   NT  A-          11/48   von=43
BA    7   CR   155/192   TR  1   CH  1   NT  C#            1/4   von=51
BA    7   CR    1+5/24   TR  1   CH  1   NT  C#-          5/32   von=66
BA    7   CR 1+121/192   TR  1   CH  1   NT  E             1/6   von=57
BA    7   CR   1+21/32   TR  1   CH  1   NT  A-         29/192   von=58
BA    7   CR   1+47/48   TR  1   CH  1   ST &B0 &40 &00
BA    7   CR  2+11/192   TR  1   CH  1   NT  A--         17/32   von=60
BA    7   CR    2+7/96   TR  1   CH  1   NT  E-          47/96   von=65
BA    7   CR  2+17/192   TR  1   CH  1   NT  A-         47/192   von=73
BA    7   CR  2+17/192   TR  1   CH  1   NT  A          55/192   von=76
BA    7   CR  2+35/192   TR  1   CH  1   ST &B0 &40 &7F
BA    7   CR   2+33/64   TR  1   CH  1   NT  G          29/192   von=62
BA    7   CR   2+33/64   TR  1   CH  1   NT  A-         25/192   von=54
BA    7   CR   2+29/32   TR  1   CH  1   NT  F#          17/96   von=46
BA    7   CR   2+11/12   TR  1   CH  1   NT  C#-           1/8   von=64
BA    7   CR   2+59/64   TR  1   CH  1   NT  E-         29/192   von=62
BA    7   CR   2+15/16   TR  1   CH  1   NT  A-         29/192   von=49
BA    7   CR   3+17/48   TR  1   CH  1   NT  E            5/64   von=58
BA    7   CR   3+79/96   TR  1   CH  1   ST &B0 &40 &00
BA    7   CR 3+161/192   TR  1   CH  1   NT  D--         57/64   von=57
BA    7   CR 3+163/192   TR  1   CH  1   NT  D-          51/64   von=56
BA    7   CR   3+41/48   TR  1   CH  1   NT  F#-       127/192   von=55
BA    7   CR   3+41/48   TR  1   CH  1   NT  D           45/64   von=62
BA    7   CR   3+83/96   TR  1   CH  1   NT  A-        125/192   von=68

BA    8   CR      1/16   TR  1   CH  1   ST &B0 &40 &7F
BA    8   CR       3/4   TR  1   CH  1   NT  A--          5/32   von=66
BA    8   CR   1+11/64   TR  1   CH  1   NT  F#           5/24   von=54
BA    8   CR 1+115/192   TR  1   CH  1   NT  D-          47/96   von=63
BA    8   CR   1+29/48   TR  1   CH  1   NT  D--           1/2   von=51
BA    8   CR   1+59/96   TR  1   CH  1   NT  D            5/24   von=72
BA    8   CR     1+5/8   TR  1   CH  1   NT  A           11/48   von=79
BA    8   CR     1+5/8   TR  1   CH  1   NT  A-         43/192   von=70
BA    8   CR 1+131/192   TR  1   CH  1   ST &B0 &40 &7F
BA    8   CR    2+1/24   TR  1   CH  1   NT  F#            1/6   von=45
BA    8   CR    2+3/64   TR  1   CH  1   NT  A-           7/64   von=46
BA    8   CR   2+47/96   TR  1   CH  1   NT  A--          5/24   von=83
BA    8   CR     2+1/2   TR  1   CH  1   NT  A             1/4   von=80
BA    8   CR     2+1/2   TR  1   CH  1   NT  D            5/24   von=83
BA    8   CR   2+33/64   TR  1   CH  1   NT  A-           5/24   von=80
BA    8   CR   2+35/64   TR  1   CH  1   ST &B0 &40 &00
BA    8   CR   2+21/32   TR  1   CH  1   ST &B0 &40 &7F
BA    8   CR   2+11/12   TR  1   CH  1   NT  F#            1/6   von=47
BA    8   CR   2+15/16   TR  1   CH  1   NT  A-           3/32   von=40
BA    8   CR   3+17/64   TR  1   CH  1   ST &B0 &40 &00
BA    8   CR  3+73/192   TR  1   CH  1   NT  D--       107/192   von=60
BA    8   CR  3+73/192   TR  1   CH  1   NT  D-            1/2   von=67
BA    8   CR   3+19/48   TR  1   CH  1   NT  A-          13/64
BA    8   CR   3+19/48   TR  1   CH  1   NT  A          47/192   von=82
BA    8   CR   3+13/32   TR  1   CH  1   NT  D           19/96   von=78
BA    8   CR   3+47/96   TR  1   CH  1   ST &B0 &40 &7F
BA    8   CR     3+5/6   TR  1   CH  1   NT  A-          19/96   von=55
BA    8   CR 3+161/192   TR  1   CH  1   NT  F#            1/4   von=50
BA    8   CR   3+83/96   TR  1   CH  1   NT  D            1/24   von=42

BA    9   CR     19/64   TR  1   CH  1   NT  A--        29/192   von=85
BA    9   CR     11/16   TR  1   CH  1   NT  F#           3/16   von=49
BA    9   CR     49/64   TR  1   CH  1   NT  A-           3/64   von=43
BA    9   CR         1   TR  1   CH  1   ST &B0 &40 &00
BA    9   CR     1+1/8   TR  1   CH  1   NT  D--           5/8   von=62
BA    9   CR    1+9/64   TR  1   CH  1   NT  D-          31/64   von=58
BA    9   CR    1+9/64   TR  1   CH  1   NT  A            5/24   von=75
BA    9   CR    1+7/48   TR  1   CH  1   NT  D          31/192
BA    9   CR     1+1/6   TR  1   CH  1   NT  A-           7/48   von=73
BA    9   CR     1+1/6   TR  1   CH  1   NT  F#           9/64   von=52
BA    9   CR  1+43/192   TR  1   CH  1   ST &B0 &40 &7F
BA    9   CR   1+35/64   TR  1   CH  1   NT  A          43/192   von=60
BA    9   CR    1+9/16   TR  1   CH  1   NT  A-         29/192
BA    9   CR    1+9/16   TR  1   CH  1   NT  D          29/192   von=66
BA    9   CR 1+187/192   TR  1   CH  1   NT  A--        29/192   von=62
BA    9   CR         2   TR  1   CH  1   NT  D-           9/64   von=54
BA    9   CR   2+1/192   TR  1   CH  1   NT  G          35/192   von=72
BA    9   CR    2+1/48   TR  1   CH  1   NT  A-           7/64   von=61
BA    9   CR   2+13/32   TR  1   CH  1   NT  F#            1/6   von=44
BA    9   CR 2+163/192   TR  1   CH  1   ST &B0 &40 &00
BA    9   CR   2+41/48   TR  1   CH  1   NT  A--        1+1/48   von=76
BA    9   CR     2+7/8   TR  1   CH  1   NT  E         1+1/192   von=82
BA    9   CR    3+3/64   TR  1   CH  1   ST &B0 &40 &7F
BA    9   CR 3+139/192   TR  1   CH  1   NT  C#           9/64   von=39
BA    9   CR   3+71/96   TR  1   CH  1   NT  A-          11/96   von=40
BA    9   CR   3+71/96   TR  1   CH  1   NT  C#-         11/96   von=27
BA    9   CR     3+3/4   TR  1   CH  1   NT  E-           9/64   von=55

BA   10   CR      9/64   TR  1   CH  1   NT  E          35/192   von=69
BA   10   CR      5/32   TR  1   CH  1   NT  A-          13/96   von=62
BA   10   CR    97/192   TR  1   CH  1   ST &B0 &40 &00
BA   10   CR      9/16   TR  1   CH  1   NT  A--          7/12
BA   10   CR     55/96   TR  1   CH  1   NT  E-          13/24   von=58
BA   10   CR   113/192   TR  1   CH  1   NT  G          47/192   von=72
BA   10   CR   115/192   TR  1   CH  1   NT  A-            1/6
BA   10   CR     17/24   TR  1   CH  1   ST &B0 &40 &7F
BA   10   CR    1+1/64   TR  1   CH  1   NT  E          29/192   von=60
BA   10   CR    1+1/32   TR  1   CH  1   NT  A-           7/64   von=55
BA   10   CR    1+5/12   TR  1   CH  1   NT  C#-           1/6   von=63
BA   10   CR    1+7/16   TR  1   CH  1   NT  G            3/16   von=69
BA   10   CR    1+7/16   TR  1   CH  1   NT  E-          17/96   von=60
BA   10   CR  1+89/192   TR  1   CH  1   NT  A-         23/192   von=67
BA   10   CR   1+41/48   TR  1   CH  1   NT  E          31/192   von=62
BA   10   CR 1+169/192   TR  1   CH  1   NT  A-            1/8
BA   10   CR  2+41/192   TR  1   CH  1   ST &B0 &40 &00
BA   10   CR    2+9/32   TR  1   CH  1   NT  A--           5/6   von=66
BA   10   CR   2+19/64   TR  1   CH  1   NT  E-        103/192
BA   10   CR    2+5/16   TR  1   CH  1   NT  G            5/24   von=74
BA   10   CR    2+5/16   TR  1   CH  1   NT  A-           3/16   von=70
BA   10   CR   2+19/48   TR  1   CH  1   ST &B0 &40 &7F
BA   10   CR 2+137/192   TR  1   CH  1   NT  E          37/192   von=58
BA   10   CR   2+35/48   TR  1   CH  1   NT  A-           7/48   von=52
BA   10   CR    3+9/64   TR  1   CH  1   NT  C#-        29/192   von=51
BA   10   CR    3+7/12   TR  1   CH  1   NT  G           11/64   von=62
BA   10   CR   3+29/48   TR  1   CH  1   NT  A-            1/8
BA   10   CR 3+185/192   TR  1   CH  1   ST &B0 &40 &00

